Relative Unix Time, Median-Relative Request Count over 10 seconds
0, 0.92412
10, 0.91791
20, 0.97007
30, 0.95609
40, 0.94654
50, 0.97051
60, 0.96241
70, 0.9396
80, 0.94027
90, 0.94809
100, 0.9415
110, 0.95524
120, 0.94591
130, 0.95394
140, 0.95561
150, 0.95293
160, 0.95803
170, 0.97174
180, 0.92755
190, 0.92813
200, 0.93179
210, 0.93525
220, 0.92234
230, 0.94279
240, 0.92473
250, 0.92063
260, 0.9313
270, 0.94561
280, 0.90404
290, 0.92667
300, 0.91426
310, 0.91511
320, 0.93879
330, 0.94245
340, 0.9244
350, 0.93955
360, 0.9287
370, 0.94241
380, 0.96235
390, 0.92767
400, 0.92531
410, 0.9409
420, 0.92364
430, 0.92527
440, 0.94115
450, 0.92992
460, 0.91293
470, 0.94211
480, 0.93566
490, 0.92662
500, 0.91594
510, 0.92307
520, 0.9187
530, 0.93155
540, 0.91769
550, 0.91004
560, 0.91302
570, 0.90985
580, 0.90026
590, 0.94521
600, 0.9105
610, 0.88104
620, 0.92667
630, 0.91902
640, 0.90137
650, 0.93493
660, 0.90924
670, 0.90735
680, 0.92924
690, 0.94894
700, 0.93032
710, 0.93812
720, 0.92162
730, 0.90993
740, 0.92495
750, 0.92409
760, 0.89804
770, 0.93216
780, 0.91817
790, 0.91146
800, 0.9469
810, 0.94084
820, 0.89013
830, 0.93266
840, 0.90121
850, 0.89872
860, 0.9187
870, 0.91504
880, 0.89048
890, 0.92685
900, 0.91472
910, 0.93945
920, 0.93375
930, 0.93744
940, 0.91629
950, 0.92892
960, 0.92692
970, 0.92169
980, 0.919
990, 0.92855
1000, 0.91128
1010, 0.9462
1020, 0.95173
1030, 0.91105
1040, 0.92167
1050, 0.91814
1060, 0.89692
1070, 0.9128
1080, 0.91364
1090, 0.90626
1100, 0.90753
1110, 0.90475
1120, 0.92255
1130, 0.95066
1140, 0.91911
1150, 0.91232
1160, 0.90609
1170, 0.92189
1180, 0.91395
1190, 0.91849
1200, 0.91043
1210, 0.90587
1220, 0.93964
1230, 0.97133
1240, 0.95386
1250, 0.92756
1260, 0.93398
1270, 0.92322
1280, 0.91643
1290, 0.93123
1300, 0.9211
1310, 0.93198
1320, 0.93022
1330, 0.93767
1340, 0.95513
1350, 0.94376
1360, 0.91828
1370, 0.93009
1380, 0.90772
1390, 0.90421
1400, 0.90863
1410, 0.91469
1420, 0.91458
1430, 0.91477
1440, 0.91029
1450, 0.92594
1460, 0.91416
1470, 0.90302
1480, 0.90068
1490, 0.90966
1500, 0.90651
1510, 0.8992
1520, 0.93127
1530, 0.91657
1540, 0.91604
1550, 0.95103
1560, 0.94183
1570, 0.91208
1580, 0.92833
1590, 0.92313
1600, 0.91163
1610, 0.93245
1620, 0.92669
1630, 0.91629
1640, 0.93721
1650, 0.92401
1660, 0.93493
1670, 0.95084
1680, 0.90776
1690, 0.9041
1700, 0.92083
1710, 0.90917
1720, 0.89815
1730, 0.92888
1740, 0.90271
1750, 0.89263
1760, 0.92978
1770, 0.93862
1780, 0.9037
1790, 0.93268
1800, 0.91816
1810, 0.90988
1820, 0.94326
1830, 0.92824
1840, 0.9063
1850, 0.93243
1860, 0.91439
1870, 0.92109
1880, 0.95535
1890, 0.92594
1900, 0.89214
1910, 0.93792
1920, 0.92315
1930, 0.90122
1940, 0.9294
1950, 0.93767
1960, 0.89706
1970, 0.94165
1980, 0.94069
1990, 0.93102
2000, 0.92712
2010, 0.92115
2020, 0.89602
2030, 0.9256
2040, 0.91302
2050, 0.89746
2060, 0.92054
2070, 0.9219
2080, 0.89766
2090, 0.93661
2100, 0.9232
2110, 0.90749
2120, 0.92138
2130, 0.92488
2140, 0.91133
2150, 0.939
2160, 0.92498
2170, 0.91525
2180, 0.92026
2190, 0.9323
2200, 0.93642
2210, 0.94631
2220, 0.93106
2230, 0.91537
2240, 0.92142
2250, 0.92967
2260, 0.89719
2270, 0.91902
2280, 0.92963
2290, 0.90471
2300, 0.91231
2310, 0.95362
2320, 0.90615
2330, 0.9108
2340, 0.92148
2350, 0.90705
2360, 0.90173
2370, 0.91069
2380, 0.89189
2390, 0.89742
2400, 0.91187
2410, 0.92026
2420, 0.96214
2430, 0.96219
2440, 0.93157
2450, 0.93034
2460, 0.9481
2470, 0.92471
2480, 0.92137
2490, 0.9478
2500, 0.90941
2510, 0.93109
2520, 0.95849
2530, 0.96009
